months;date;en_hospital;indicator;life_expectancy;new_cases;new_tests;new_vaccinations;nuevas_muertes;nuevas_vacunas;nuevos_casos;people_fully_vaccinated;people_vaccinated;total_cases;total_vaccinations;;;
24;2022-01-01T05:00:00.000Z;1348252;Daily ICU occupancy;6;338852075;324775627;3237075150;838140;3237075;3388520;3;4;36892968595;1;;;
23;2021-12-01T05:00:00.000Z;1089680;Daily ICU occupancy;6;111418107;334041358;4366907202;942834;4366907;1114181;4;5;35515277412;1;;;
22;2021-11-01T05:00:00.000Z;818551;Daily ICU occupancy;6;68516448;251621878;3680612281;910762;3680612;685164;3;4;31889135362;9;;;
21;2021-10-01T05:00:00.000Z;873686;Daily ICU occupancy;6;54114794;242077388;3043681037;892888;3043681;541147;3;4;31089580792;8;;;
20;2021-09-01T05:00:00.000Z;1142263;Daily ICU occupancy;6;64929056;263362823;3642844070;1074737;3642844;649290;2;3;28368229660;7;;;
19;2021-08-01T05:00:00.000Z;1081346;Daily ICU occupancy;6;81590880;262659128;4681425715;1209563;4681425;815908;1;2;26973978382;5;;;
18;2021-07-01T05:00:00.000Z;601532;Daily ICU occupancy;6;64326403;243596709;4216970317;1047439;4216970;643264;1;2;24630393519;4;;;
17;2021-06-01T05:00:00.000Z;705341;Daily ICU occupancy;6;46443281;238940108;4625400674;1100547;4625400;464432;67521186811;1;22265945979;3;;;
16;2021-05-01T05:00:00.000Z;1090791;Daily ICU occupancy;6;80539745;240477532;3247701037;1554203;3247701;805397;47055140284;93132254067;21195435201;1;;;
15;2021-04-01T05:00:00.000Z;1256635;Daily ICU occupancy;6;94123176;242745959;2198871495;1586819;2198871;941231;25611418124;60479818911;17711415939;1;;;
14;2021-03-01T05:00:00.000Z;1115094;Daily ICU occupancy;6;63536616;228590140;1420159878;1272545;1420159;635366;12461421716;31863792855;15842250026;52907651100;;;
13;2021-02-01T05:00:00.000Z;1246327;Daily ICU occupancy;6;47967757;171428077;628569977;1319576;628569;479677;3918179968;12383905810;12845962232;20336614590;;;
12;2021-01-01T05:00:00.000Z;1762639;Daily ICU occupancy;6;82397238;204188720;365635621;1770076;365635;823972;566013433;4106595295;12247028149;6138530805;;;
11;2020-12-01T05:00:00.000Z;1589688;Daily ICU occupancy;6;82178718;192465996;40008215;1524477;40008;821787;1164616;189605824;9612984901;267319732;;;
10;2020-11-01T05:00:00.000Z;1341001;Daily ICU occupancy;6;74468001;171956660;0;1199676;0;744680;0;0;6874575879;0;;;
9;2020-10-01T05:00:00.000Z;762208;Daily ICU occupancy;6;51922814;156286256;0;764514;0;519228;0;0;5048422474;0;;;
8;2020-09-01T05:00:00.000Z;496645;Daily ICU occupancy;6;34966032;122722667;0;667216;0;349660;0;0;3653016401;0;;;
7;2020-08-01T05:00:00.000Z;535244;Daily ICU occupancy;6;32244518;101688135;0;737544;0;322445;0;0;2739576718;0;;;
6;2020-07-01T05:00:00.000Z;350727;Daily ICU occupancy;6;28649593;80553643;0;707240;0;286495;0;0;1768477677;0;;;
5;2020-06-01T05:00:00.000Z;140551;Daily ICU occupancy;6;17287296;58208551;0;587606;0;172872;0;0;1023202342;0;;;
4;2020-05-01T05:00:00.000Z;277541;Daily ICU occupancy;6;11776259;43025602;0;621832;0;117762;0;0;613660173;0;;;
3;2020-04-01T05:00:00.000Z;587573;Daily ICU occupancy;6;10183341;21475793;0;861245;0;101833;0;0;276414353;0;;;
2;2020-03-01T05:00:00.000Z;139442;Daily ICU occupancy;6;3557342;4650722;0;195094;0;35573;0;0;39746153;0;;;
1;2020-02-01T05:00:00.000Z;346;Daily ICU occupancy;6;304387;162109;0;10939;0;3043;0;0;6673613;0;;;
